full_address,lat,lng
622 Ang Mo Kio Avenue 9,1.382191,103.839786
259 Ang Mo Kio Avenue 2,1.368616,103.831546
101 Ang Mo Kio Avenue 3,1.370287,103.839462
620 Bedok Reservoir Road,1.334292,103.917533
534 Bedok North Street 3,1.333143,103.924775
18 Bedok South Road,1.320656,103.934705
28 New Upper Changi Road,1.323599,103.935161
29 New Upper Changi Road,1.323918,103.936252
30 New Upper Changi Road,1.323459,103.936336
75 Bedok North Road,1.327931,103.942136
76 Bedok North Road,1.328349,103.942054
501 Bedok North Street 3,1.331611,103.930948
502 Bedok North Street 3,1.331268,103.931383
503 Bedok North Street 3,1.331466,103.932428
504 Bedok North Street 3,1.331872,103.932322
2 Bedok South Avenue 1,1.32126,103.933205
20 Chai Chee Road,1.326252,103.923138
21 Chai Chee Road,1.326059,103.922239
59 Chai Chee Road,1.324839,103.920347
58 Chai Chee Drive,1.325797,103.919945
55 Chai Chee Drive,1.327173,103.919338
22 Bedok South Avenue 1,1.322815,103.93276
105 Bedok North Avenue 4,1.333633,103.936493
104 Bedok North Avenue 4,1.333256,103.936573
107 Bedok North Road,1.332384,103.936287
110 Bedok North Road,1.332426,103.93486
69 Bedok South Avenue 3,1.319408,103.943695
33 Bedok South Avenue 2,1.32289,103.939098
46 Bedok South Avenue 3,1.3225,103.942676
117 Bedok North Road,1.33065,103.938521
116 Bedok North Road,1.330976,103.938079
115 Bedok North Road,1.331389,103.936832
125 Bedok North Road,1.328855,103.939127
124 Bedok North Road,1.32936,103.939477
128 Bedok North Street 2,1.327608,103.93907
129 Bedok North Street 2,1.327573,103.938025
138 Bedok North Street 2,1.329696,103.936219
87 Bedok North Street 4,1.332525,103.938594
100 Bedok North Avenue 4,1.334314,103.938837
412 Bedok North Avenue 2,1.329265,103.931086
402 Bedok North Avenue 3,1.330559,103.933668
401 Bedok North Avenue 3,1.330948,103.933545
425 Bedok North Road,1.3294,103.929016
416 Bedok North Avenue 2,1.327892,103.930871
418 Bedok North Avenue 2,1.328318,103.930079
424 Bedok North Avenue 1,1.328454,103.927426
419 Bedok North Street 1,1.326898,103.928064
136 Bedok North Avenue 3,1.32809,103.935231
529 Bedok North Street 3,1.334244,103.926483
510 Bedok North Street 3,1.332359,103.930559
525 Bedok North Street 3,1.33477,103.929042
202 Bedok North Street 1,1.325634,103.927982
218 Bedok North Street 1,1.327422,103.934221
213 Bedok North Street 1,1.326374,103.933385
532 Bedok North Street 3,1.334042,103.925201
533 Bedok North Street 3,1.333556,103.924135
536 Bedok North Street 3,1.333325,103.923032
537 Bedok North Street 3,1.332542,103.924866
44 Chai Chee Street,1.328994,103.925688
540 Bedok North Street 3,1.331062,103.922077
702 Bedok Reservoir Road,1.337318,103.918824
615 Bedok Reservoir Road,1.33237,103.915857
712 Bedok Reservoir Road,1.335967,103.922638
50 Chai Chee Street,1.329327,103.922442
54 Chai Chee Street,1.329524,103.921117
606 Bedok Reservoir Road,1.331292,103.913785
616 Bedok Reservoir Road,1.331743,103.914844
15 Bedok South Road,1.320865,103.935562
34 Bedok South Avenue 2,1.321969,103.938196
36 Bedok South Avenue 2,1.321582,103.938481
35 Bedok South Avenue 2,1.322367,103.939525
41 Bedok South Road,1.321076,103.940731
42 Bedok South Road,1.321681,103.941145
53 New Upper Changi Road,1.324316,103.942418
51 New Upper Changi Road,1.323457,103.94227
8 Bedok South Avenue 2,1.322919,103.936584
718 Bedok Reservoir Road,1.337148,103.925771
724 Bedok Reservoir Road,1.337129,103.928384
166 Bedok South Avenue 3,1.320029,103.94521
71 Bedok South Road,1.320398,103.942569
82 Bedok North Road,1.329502,103.940464
78 Bedok North Road,1.327268,103.940911
79 Bedok North Road,1.327681,103.940765
80 Bedok North Road,1.32851,103.940081
134 Bedok North Street 2,1.328309,103.936586
126 Bedok North Street 2,1.328158,103.938916
130 Bedok North Street 2,1.327106,103.936655
132 Bedok North Street 2,1.327672,103.936594
131 Bedok North Avenue 3,1.326956,103.93581
133 Bedok North Avenue 3,1.327512,103.935724
121 Bedok North Road,1.329616,103.938853
89 Bedok North Street 4,1.332528,103.938097
62 New Upper Changi Road,1.323345,103.94002
422 Bedok North Road,1.328724,103.928851
427 Bedok North Road,1.329061,103.927891
507 Bedok North Avenue 3,1.332986,103.932617
508 Bedok North Avenue 3,1.333414,103.932459
517 Bedok North Avenue 2,1.331048,103.929123
95 Bedok North Avenue 4,1.333855,103.942046
93 Bedok North Avenue 4,1.332782,103.941013
43 Chai Chee Street,1.328352,103.925635
404 Bedok North Avenue 3,1.329362,103.933897
403 Bedok North Avenue 3,1.329794,103.933836
543 Bedok North Street 3,1.330301,103.923231
547 Bedok North Street 3,1.330295,103.92518
708 Bedok North Road,1.334997,103.919214
707 Bedok North Road,1.335428,103.919204
622 Bedok Reservoir Road,1.334105,103.91641
713 Bedok Reservoir Road,1.336881,103.922432
609 Bedok Reservoir Road,1.331845,103.912338
61 Chai Chee Road,1.32509,103.920749
56 Chai Chee Drive,1.326381,103.920054
165 Bedok South Road,1.320265,103.946154
505 Bedok North Avenue 3,1.331853,103.933349
417 Bedok North Avenue 2,1.327638,103.930421
710 Bedok Reservoir Road,1.335597,103.923718
613 Bedok Reservoir Road,1.331891,103.916962
602 Bedok Reservoir Road,1.329356,103.911511
603 Bedok Reservoir Road,1.329989,103.912366
605 Bedok Reservoir Road,1.330305,103.91351
112 Bedok Reservoir Road,1.329708,103.910423
1 Chai Chee Road,1.328065,103.922542
722 Bedok Reservoir Road,1.336621,103.928235
54 New Upper Changi Road,1.324841,103.942491
72 Bedok South Avenue 3,1.320463,103.943659
31 Bedok South Avenue 2,1.323088,103.938131
111 Bedok North Road,1.331464,103.935372
120 Bedok North Street 2,1.329728,103.937913
118 Bedok North Street 2,1.330406,103.93741
96 Bedok North Avenue 4,1.333166,103.940351
137 Bedok North Avenue 3,1.328827,103.935543
139 Bedok North Avenue 3,1.329393,103.935167
716 Bedok Reservoir Road,1.337862,103.924917
725 Bedok Reservoir Road,1.337313,103.929265
22 Sin Ming Road,1.357313,103.839396
24 Sin Ming Road,1.355031,103.836171
309 Shunfu Road,1.350974,103.837683
304 Shunfu Road,1.350161,103.83792
308 Shunfu Road,1.350528,103.837686
310 Shunfu Road,1.350881,103.838707
160 Bukit Batok Street 11,1.348897,103.742042
161 Bukit Batok Street 11,1.34849,103.742056
164 Bukit Batok Street 11,1.347741,103.742813
177 Bukit Batok West Avenue 8,1.346348,103.741724
130 Bukit Batok West Avenue 6,1.350783,103.746076
